"date","home.team","home.score","away.team","away.score","home.adv","away.adv","pred.home.score","pred.away.score","home.residuals","away.residuals","home.attack","home.defend","away.attack","away.defend","home.win","away.win","tie","home.shutout","away.shutout"
2013-04-13,"FC Kansas City",1,"Portland Thorns",1,"home","away",0.714767510848885,0.595921233753877,0.285232489151115,0.404078766246123,0.265505249036695,-0.830964534406757,0.313317755625235,-0.676753272371129,33.514,26.446,40.04,49.101,54.976
2013-04-14,"Boston Breakers",1,"Washington Spirit",1,"home","away",2.22471929320036,1.37379512681904,-1.22471929320036,-0.373795126819044,0.739123745702108,0,0.317577075563986,-0.0149430729207164,56.708,23.299,19.993,10.863,25.258
2013-04-14,"Chicago Red Stars",1,"Seattle Reign",1,"home","away",1.64060106023223,0.860586853837467,-0.640601060232226,0.139413146162533,0.174696989898941,0.0455812560285756,-0.19572199030101,0.244915610415462,55.764,19.601,24.635,19.38,42.241
2013-04-14,"Sky Blue FC",1,"Western NY Flash",0,"home","away",1.5085741440959,0.685865503239493,-0.508574144095897,-0.685865503239493,0.730008767675139,-0.962274703659065,0.585200973763004,-0.394293912908924,56.917,16.896,26.187,22.156,50.264
2013-04-20,"Washington Spirit",1,"Western NY Flash",1,"home","away",0.998734039178941,1.76872314780698,0.00126596082105945,-0.768723147806981,0.317577075563986,-0.0149430729207164,0.585200973763004,-0.394293912908924,21.057,55.489,23.454,36.927,16.952
2013-04-21,"Portland Thorns",2,"Seattle Reign",1,"home","away",1.88453939934086,0.417915816500476,0.115460600659135,0.582084183499524,0.313317755625235,-0.676753272371129,-0.19572199030101,0.244915610415462,73.224,7.391,19.385,15.067,65.663
2013-04-26,"FC Kansas City",2,"Seattle Reign",0,"home","away",1.79655498523771,0.358191856289403,0.203445014762294,-0.358191856289403,0.265505249036695,-0.830964534406757,-0.19572199030101,0.244915610415462,72.733,6.712,20.555,16.801,70.002
2013-04-27,"Chicago Red Stars",0,"Portland Thorns",2,"home","away",0.652720537781411,1.43175220398321,-0.652720537781411,0.568247796016787,0.174696989898941,0.0455812560285756,0.313317755625235,-0.676753272371129,16.951,55.719,27.33,51.918,24.093
2013-04-27,"Washington Spirit",1,"Sky Blue FC",2,"home","away",0.565951126426779,2.04432097901189,0.434048873573221,-0.0443209790118906,0.317577075563986,-0.0149430729207164,0.730008767675139,-0.962274703659065,9.086,72.148,18.766,56.739,12.806
2013-04-27,"Western NY Flash",1,"Boston Breakers",2,"home","away",1.93605238775976,1.41174966572923,-0.936052387759757,0.588250334270772,0.585200973763004,-0.394293912908924,0.739123745702108,0,49.633,28.042,22.325,14.284,24.273
2013-05-01,"Western NY Flash",2,"Sky Blue FC",1,"home","away",0.739616363159187,1.39894006684074,1.26038363684081,-0.398940066840743,0.585200973763004,-0.394293912908924,0.730008767675139,-0.962274703659065,20.032,52.624,27.344,47.535,24.777
2013-05-04,"Boston Breakers",4,"Chicago Red Stars",1,"home","away",2.36352719221935,1.19088531165756,1.63647280778065,-0.190885311657561,0.739123745702108,0,0.174696989898941,0.0455812560285756,63.584,17.892,18.524,9.372,30.453
2013-05-04,"Seattle Reign",0,"FC Kansas City",1,"home","away",0.386263132947654,1.66599219598698,-0.386263132947654,-0.665992195986982,-0.19572199030101,0.244915610415462,0.265505249036695,-0.830964534406757,7.946,69.221,22.833,67.979,18.874
2013-05-04,"Washington Spirit",1,"Portland Thorns",2,"home","away",0.752972838946775,1.34766664067556,0.247027161053225,0.65233335932444,0.317577075563986,-0.0149430729207164,0.313317755625235,-0.676753272371129,20.889,50.759,28.352,47.069,25.965
2013-05-08,"Sky Blue FC",1,"Chicago Red Stars",1,"home","away",2.34208158041627,0.454945469821221,-1.34208158041627,0.545054530178779,0.730008767675139,-0.962274703659065,0.174696989898941,0.0455812560285756,79.909,5.609,14.482,9.648,63.349
2013-05-11,"Sky Blue FC",2,"Seattle Reign",0,"home","away",2.85872137334776,0.314114819109339,-0.858721373347759,-0.314114819109339,0.730008767675139,-0.962274703659065,-0.19572199030101,0.244915610415462,88.856,2.314,8.83000000000001,5.813,73.071
2013-05-11,"Washington Spirit",1,"Boston Breakers",1,"home","away",1.48145861050678,2.06304010241194,-0.481458610506784,-1.06304010241194,0.317577075563986,-0.0149430729207164,0.739123745702108,0,27.516,51.176,21.308,22.779,12.641
2013-05-11,"Western NY Flash",2,"FC Kansas City",1,"home","away",0.843400380832683,0.879159744130045,1.15659961916732,0.120840255869955,0.585200973763004,-0.394293912908924,0.265505249036695,-0.830964534406757,32.117,33.95,33.933,42.912,41.727
2013-05-12,"Chicago Red Stars",0,"Portland Thorns",2,"home","away",0.652720537781411,1.43175220398321,-0.652720537781411,0.568247796016787,0.174696989898941,0.0455812560285756,0.313317755625235,-0.676753272371129,17.053,55.845,27.102,51.95,23.949
2013-05-16,"Portland Thorns",0,"Sky Blue FC",1,"home","away",0.563545685916579,1.05469908136047,-0.563545685916579,-0.0546990813604746,0.313317755625235,-0.676753272371129,0.730008767675139,-0.962274703659065,19.363,47.132,33.505,56.894,34.635
2013-05-16,"Seattle Reign",2,"Washington Spirit",4,"home","away",0.873528092827412,1.75504182050141,1.12647190717259,2.24495817949859,-0.19572199030101,0.244915610415462,0.317577075563986,-0.0149430729207164,18.488,58.43,23.082,41.774,17.115
2013-05-18,"FC Kansas City",2,"Boston Breakers",0,"home","away",1.40629041140278,0.912250378548188,0.593709588597216,-0.912250378548188,0.265505249036695,-0.830964534406757,0.739123745702108,0,48.425,24.432,27.143,24.54,40.223
